Sample File;C:\PartyLab\SMPS\202205101400_SMPS.S80
Classifier Model;3080
DMA Model;3081
DMA Inner Radius(cm);0.00937
DMA Outer Radius(cm);0.01961
DMA Characteristic Length(cm);0.44369
CPC Model;3772
Reference Gas Viscosity (Pa*s);1.83245e-005
Reference Mean Free Path (m);6.73e-008
Reference Gas Temperature (K);296.15
Reference Gas Pressure (kPa);101.3
Channels/Decade;64
Multiple Charge Correction;TRUE
Nanoparticle Aggregate Mobility Analysis;FALSE
Diffusion Correction;TRUE
Gas Density;0.0012
Units;dw/dlogDp
Weight;Number
2155;05/18/22;02:40:51;13.9;76.3;8.590014e-008;1.788679e-005;;38.1652;0;0;0;95.8722;21.6526;137.463;107.093;113.804;222.585;316.159;378.28;431.47;437.663;613.557;587.786;851.627;884.765;776.031;992.749;1076.84;1156.39;1316.01;1445.13;1470.5;1590.02;1690.07;1924.26;1824.92;2054.77;2052.74;2087.09;2248.52;2229.67;2171.95;2155.89;2222.83;2257.44;2119.92;2129.9;2142.92;2110.73;2153.23;2147.21;1897.39;1765.22;1761.16;1646.41;1505.77;1382.7;1195.85;1045.96;909.9;919.348;714.162;676.968;641.809;612.168;574.866;510.802;469.309;426.124;393.786;404.576;451.943;389.657;431.505;406.891;405.242;413.029;390.23;420.661;435.262;375.227;467.483;445.89;377.98;421.941;393.514;400.619;386.262;381.759;341.837;316.359;277.901;226.689;228.381;186.258;142.243;194.617;159.848;119.662;84.3583;71.9417;67.6681;48.1987;35.8297;57.0244;35.1783;25.7867;9.95818;6.58737;6.72232;10.2217;3.47974;10.5881;280;20;FALSE;1;None;5;1;1;1;10.9305;9627.03;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;47.9329;66.806;52.6727;46.1384;1.89073;1285.98;
2156;05/18/22;02:45:52;13.8;76.2;8.589569e-008;1.788194e-005;;38.1617;33.5343;30.0539;53.1871;47.9325;64.953;39.2724;107.086;178.823;311.601;288.651;417.201;439.669;575.651;574.94;625.546;700.366;877.567;983.319;1074.46;1130.34;1363.16;1421.77;1677.74;1730.41;1662.23;1876.21;1834.2;1911.13;2047.64;1926.15;2074.5;2080.9;2071.96;1956.3;1940.72;1884.29;1945.09;1837.14;1869.62;1878.85;1746.17;1627.76;1736.3;1712.16;1647.25;1530.81;1499.27;1332.91;1166.29;1083.6;1017.24;984.36;819.945;732.859;640.562;609.95;574.821;541.704;535.56;381.602;453.585;398.249;446.041;374.498;459.61;428.339;340.929;339.995;380.581;376.71;324.823;430.724;350.049;339.998;312.053;356.382;277.878;277.094;269.222;307.256;283.012;267.115;212.136;216.532;163.342;149.001;113.74;141.855;119.526;103.073;88.4575;73.4022;63.2547;61.4389;48.2052;42.4001;27.1052;28.1466;22.0491;19.643;13.1747;10.9563;8.46529;7.84949;3.52935;280;20;FALSE;1;None;5;1;1;1;10.9281;9624.56;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;45.7208;63.2438;50.2006;38.5423;1.87253;1203.67;
2157;05/18/22;02:50:52;13.9;76.2;8.594521e-008;1.788679e-005;;38.1804;67.0999;60.1346;53.2098;23.976;43.3189;96.8225;108.393;55.9364;82.5324;123.747;90.0701;282.804;274.947;327.66;300.589;417.626;395.054;539.458;574.67;704.719;800.776;832.77;1123.66;1152.33;1368.65;1148.66;1301.44;1259.58;1155.01;1002.14;899.933;1064.91;1148.45;1247.08;1209.66;1216.02;1479.35;1455.74;1743.28;1706.98;1678.26;1733.79;1714.66;1698.43;1559.77;1604.6;1487.86;1374.77;1297.53;1287.75;1027.79;957.145;907.875;705.573;729.605;595.994;452.967;481.208;407.223;399.476;410.726;330.714;247.03;335.39;278.004;281.951;248.112;275.605;228.329;291.798;244.07;233.365;298.285;280.387;323.22;212.926;274.469;246.1;250.346;232.009;167.705;190.19;156.673;198.652;168.526;185.284;107.869;83.6727;118.757;75.0095;63.7063;73.0418;52.2338;52.6654;19.5993;34.6302;23.2356;29.4941;6.37609;19.375;6.58776;6.72271;13.6298;3.47994;10.5887;280;20;FALSE;1;None;5;1;1;1;10.9248;9625.6;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;52.6328;67.7688;54.7602;49.5807;1.84277;913.597;
2158;05/18/22;02:55:52;13.9;76.2;8.593394e-008;1.788679e-005;;0;0;0;26.6026;23.974;21.6577;98.2102;71.4113;97.5666;148.42;201.405;206.213;261.03;340.523;526.775;370.152;527.106;603.731;542.309;742.638;715.762;867.778;910.628;995.691;1028.41;964.553;945.143;1147.41;1362.93;1391.09;1423.81;1503.05;1440.71;1513.13;1465.46;1454.82;1495.11;1584;1595.05;1414.12;1437.19;1487.72;1444;1419.42;1279.85;1292.1;1186.49;1093.01;1022.3;985.112;796.58;718.932;680.27;649.082;576.522;496.126;479.99;409.136;389.573;397.996;406.399;371.272;295.144;359.387;310.704;309.702;264.81;263.904;325.262;249.369;302.431;257.502;238.369;248.32;249.382;199.671;232.973;251.47;194.723;182.449;179.002;151.176;97.8573;179.497;92.2889;110.703;94.387;68.738;57.4137;58.6926;46.7526;45.1672;42.2108;46.0058;32.1839;20.8473;33.845;27.133;6.25512;9.56399;29.0621;8.64892;11.3417;6.81478;0;0;280;20;FALSE;1;None;5;1;1;1;10.9263;9625.96;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;47.631;63.1032;51.2525;47.8286;1.82112;863.103;
2159;05/18/22;03:00:52;13.8;76.3;8.582814e-008;1.788194e-005;;0;0;0;26.5797;47.9086;43.2814;97.2336;36.5002;211.248;118.657;204.974;341.339;175.899;468.507;465.684;505.489;478.065;646.943;674.313;665.764;863.275;927.742;1061.96;1014.5;1135.28;1209.2;1139.16;1356.04;1259.3;1435.13;1671.14;1661.94;1657.39;1576.68;1577.7;1649.76;1618.75;1722.31;1770.39;1796.69;1680.4;1682.99;1516.45;1687.61;1455.66;1351.83;1235.01;1264.85;1154.83;1072.06;934.339;859.917;771.895;697.747;576.197;559.84;540.402;561.826;468.384;445.426;449.869;317.357;367.65;387.021;311.85;343.793;327.868;307.507;311.351;281.75;260.991;329.079;229.198;287.702;255.633;232.517;270.126;184.177;229.386;222.397;163.359;201.946;149.62;134.425;120.44;106.822;86.4944;74.8959;79.0224;45.1001;76.8069;57.2592;47.9742;49.2346;29.254;12.5699;26.6188;15.3453;18.7628;22.3129;9.68604;3.29338;6.7217;10.2208;6.95884;7.05809;280;20;FALSE;1;None;5;1;1;1;10.9365;9626.7;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;47.8626;62.7182;51.1264;49.5807;1.81265;957.81;
2160;05/18/22;03:05:52;13.8;76.2;8.595206e-008;1.788194e-005;;0;33.5502;0;0;23.9762;21.6596;78.5748;142.834;178.886;178.118;233.745;252.251;428.056;442.978;392.828;578.215;642.651;500.363;706.974;877.945;751.217;1093.67;992.129;1220.1;1197.97;1269.12;1352.39;1371.58;1530.1;1595.06;1577.53;1680.55;1900.61;1804.32;2046.15;1836.53;1851.46;1806.41;1854.1;1854.49;1803.96;1921.15;1616.96;1691.93;1626.83;1527.81;1468.91;1343.92;1035.13;1063.92;1079.42;797.077;689.963;748.464;723.42;581.727;600.937;529.416;525.575;483.739;392.232;353.337;412.336;380.834;366.921;331.911;307.583;333.69;332.894;337.412;247.717;274.246;273.364;251.043;219.168;182.181;259.236;205.802;199.752;169.008;165.559;135.437;164.362;161.669;107.846;105.614;95.0068;102.06;77.1613;59.5006;62.6044;43.3252;41.0293;34.2727;31.936;27.2981;9.09801;18.4173;21.8934;9.56421;12.9168;6.58781;6.72277;6.81494;3.47997;3.5296;280;20;FALSE;1;None;5;1;1;1;10.921;9622.78;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;47.1333;61.0721;50.2467;41.4178;1.78774;1023.5;
2161;05/18/22;03:10:52;13.7;76.2;8.587997e-008;1.787709e-005;;0;0;0;26.5892;23.9625;86.591;137.434;124.917;186.236;97.0668;233.641;239.536;316.697;360.616;494.95;545.225;391.76;646.528;680.582;750.094;842.837;816.662;970.711;934.572;959.685;1061.71;991.677;1225.2;1282.24;1281.99;1253.89;1304.81;1345.05;1379.91;1646.17;1491.13;1413.07;1403.88;1402.86;1370.53;1433.81;1326.29;1150.32;1208.66;1192.65;1129.53;1047.29;991.082;938.704;918.555;846.669;697.16;673.243;682.144;575.839;582.372;504.582;479.82;408.83;420.036;350.995;396.22;393.014;351.617;336.664;362.867;335.784;338.047;313.002;305.306;221.233;249.48;190.516;261.525;238.038;232.402;233.302;177.178;195.304;208.63;192.449;184.037;169.187;170.292;161.422;123.127;116.802;76.948;72.992;68.5218;60.2555;49.2037;73.9222;40.0849;17.7238;20.8458;12.1295;18.4156;21.8914;25.5022;9.68669;13.1744;7.59855;5.92588;6.9593;3.52928;280;20;FALSE;1;None;5;1;1;1;10.9271;9622.45;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;47.2578;64.2673;51.3541;41.4178;1.86846;849.099;
2162;05/18/22;03:15:52;13.7;76.2;8.591378e-008;1.787709e-005;;0;0;60.1137;26.5961;95.8738;64.9587;98.1893;107.095;48.7738;207.75;178.702;354.101;283.581;340.476;328.337;580.51;597.46;781.525;623.465;745.072;792.728;874.425;1062.73;992.107;895.742;927.569;910.008;1004.24;1029.53;883.485;807.133;952.91;922.814;780.423;845.743;917.944;910.614;920.188;919.517;840.043;987.925;926.813;882.061;865.74;891.111;904.868;764.948;705.278;649.252;686.176;541.757;527.946;420.855;437.219;385.098;425.036;394.519;403.841;327.973;319.088;340.506;343.912;297.033;293.225;301.959;254.515;295.809;245.719;300.438;249.764;224.856;232.222;224.815;213.034;170.997;239.928;230.656;217.751;131.12;154.202;194.068;145.337;126.736;135.698;82.3007;85.6955;78.642;94.6722;71.4506;43.4714;47.5543;60.0501;62.5523;43.1292;25.8783;37.9523;22.9746;27.1184;25.0198;19.1275;25.3392;3.79675;14.3137;12.7484;13.9192;3.52943;280;20;FALSE;1;None;5;1;1;1;10.9229;9621.38;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;45.8284;64.9966;50.1132;26.896;1.95946;666.024;
2163;05/18/22;03:20:52;13.7;76.3;8.580117e-008;1.787709e-005;;0;0;0;0;0;122.786;45.6201;178.361;162.465;133.463;206.061;266.18;291.678;223.415;215.357;297.531;238.973;481.996;376.75;563.45;654.997;723.044;707.058;780.369;944.212;1103.49;1226.83;1296.74;1291.78;1301.93;1330.91;1402.42;1274.34;1423.56;1662.71;1827.66;1891.15;1784.75;1894.83;1813.11;1999.46;1859.93;1942.44;1803.44;1876.89;1802.6;1570.99;1446.38;1509.64;1536.06;1392.95;1331.85;1274.97;1116.33;873.308;774.141;642.47;667.965;613.36;497.153;432.659;428.329;397.025;361.208;265.163;358.045;310.515;367.257;353.191;278.038;269.879;296.427;323.889;271.898;310.937;268.259;281.684;282.954;254.728;228.649;213.454;235.383;186.17;191.942;191.019;126.02;141.548;107.415;83.8408;100.276;56.3051;62.4988;46.2157;54.8598;40.6922;30.1428;21.2245;15.3448;18.7621;15.9372;9.6857;9.87979;3.36073;10.2204;3.4793;3.52892;280;20;FALSE;1;None;5;1;1;1;10.9369;9624.95;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;52.7061;67.2228;55.4949;51.397;1.78954;1015.5;
2164;05/18/22;03:25:52;13.8;76.1;8.608764e-008;1.788194e-005;;0;0;0;79.8987;55.9361;57.8725;137.632;125.09;120.457;157.453;162.816;241.936;272.279;384.503;476.222;505.249;646.874;629.637;789.398;931.661;816.686;860.418;983.397;1038.5;1087.14;1197.1;1419.53;1563.4;1645.48;1471.4;1609.89;1688.78;1680.43;1776.31;1991.08;1813.61;1909.31;1920.95;1587.29;1678.45;1591.54;1738.67;1873.97;1787.44;1696.11;1694.48;1624.67;1585.56;1408.38;1285.65;1088.53;1040.02;861.432;696.733;708.055;565.866;580.27;491.527;522.352;438.217;403.35;344.527;284.947;311.088;295.3;269.321;292.861;266.212;280.133;274.422;278.995;275.744;266.714;257.386;237.741;279.295;194.56;207.545;265.729;205.441;166.496;224.713;204.581;189.713;178.118;146.371;135.948;83.1489;79.647;76.0899;91.0339;50.127;56.8788;59.6846;46.9469;18.4814;18.1992;21.4907;21.2568;19.7846;18.8201;13.7475;6.72393;13.6322;20.8834;3.53021;280;20;FALSE;1;None;5;1;1;1;10.9041;9618.48;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;47.9346;62.8596;51.1649;41.4178;1.80955;1035.17;
2165;05/18/22;03:30:53;13.7;76.3;8.583492e-008;1.787709e-005;;0;0;0;292.379;95.818;129.845;39.2547;89.2003;130;341.142;343.501;291.284;373.96;480.71;578.032;654.279;754.382;881.59;972.858;930.357;1055.64;1052.49;1074.56;1210.77;1431.82;1370.47;1318.81;1577.53;1537.97;1647.7;1853.06;1704.65;1735.12;1919.46;1970.37;1930.57;1858.46;2065.69;2007.81;1913.71;1977.63;2043.8;2032.68;2179.25;1966.44;1803.15;1592.05;1553.79;1404.53;1272.92;1228.65;1102.97;1035.89;925.29;756.192;746.931;659.372;676.508;510.398;539.333;383.767;447.809;387.395;317.357;279.027;308.25;252.896;230.514;267.8;345.3;280.862;333.66;248.764;286.777;335.823;297.851;273.073;287.512;288.427;292.157;275.414;241.142;254.916;223.642;192.472;182.575;153.915;118.068;107.669;100.778;71.983;68.7546;60.1472;54.4982;61.5627;47.6448;33.9083;38.0836;10.659;25.5007;16.1435;19.7604;23.5261;5.95146;8.14488;3.21954;280;20;FALSE;1;None;5;1;1;1;10.9327;9623.88;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;48.1753;63.315;50.9232;57.2549;1.8451;1158.88;
2166;05/18/22;03:35:53;13.7;76.2;8.591378e-008;1.787709e-005;;0;0;30.0569;0;23.9684;64.9587;58.9136;124.944;113.806;163.232;204.678;278.801;375.412;415.326;469.756;405.279;613.84;622.752;871.795;922.95;918.746;1058.18;1409.38;1231.12;1285.59;1436.48;1437.52;1611.9;1688.85;1586.09;1598.11;1607.87;1452.17;1646.77;1562.14;1583.74;1583.32;1632.72;1754.77;1538.17;1609.17;1446.4;1486.98;1343.64;1312.59;1232.76;1327.15;1161.67;1138;1129.59;1008.71;838.797;752.241;706.194;652.162;529.582;545.701;450.743;449.405;436.978;426.981;378.408;391.673;313.372;311.811;308.915;386.482;339.601;304.073;389.358;292.289;288.906;258.599;313.401;259.128;286.852;262.278;260.064;278.734;251.661;243.092;211.572;194.153;207.275;140.034;112.196;88.8201;101.425;72.2789;81.8162;74.3118;57.1509;58.046;46.0045;31.2764;39.6382;39.4227;27.6246;34.4022;31.8791;3.22904;9.88122;7.5913;12.7484;17.6984;6.75519;280;20;FALSE;1;None;5;1;1;1;10.9229;9621.38;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;46.4817;63.5246;50.7053;47.8286;1.85955;987.429;
2167;05/18/22;03:40:53;13.7;76.2;8.591378e-008;1.787709e-005;;0;0;0;26.5961;23.9684;21.6529;18.375;54.6954;32.5159;59.357;82.4777;151.314;234.632;295.1;312.085;429.46;317.083;620.618;695.687;694.915;887.354;956.149;774.55;1011.61;1047.08;1129.77;1071.49;1184.03;1273.23;1421.33;1205.95;1278.44;1383.13;1373.68;1423.39;1343.58;1572.26;1558.29;1432.03;1386.87;1845.16;1679.53;1767.17;1638.32;1653;1444.27;1431.58;1464.64;1283.31;1085.12;1092.9;987.699;938.527;795.711;739.237;711.176;583.483;497.536;499.667;426.347;462.822;406.453;350.373;378.606;357.188;386.521;441.39;341.771;364.096;364.15;348.192;319.314;297.565;368.172;325.62;314.793;333.442;280.2;296.129;284.049;243.257;252.586;256.452;177.405;211.675;149.396;168.516;147.017;106.703;94.3408;87.1405;81.3117;85.996;57.3078;29.4586;41.6935;39.4227;38.6007;7.58116;22.3154;25.8323;21.8297;24.7802;3.4073;10.4394;10.5883;280;20;FALSE;1;None;5;1;1;1;10.9229;9621.38;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;52.0904;69.8296;55.8093;51.397;1.86758;949.453;
2168;05/18/22;03:45:53;13.7;76.3;8.583492e-008;1.787709e-005;;0;0;0;26.5799;0;21.6408;39.2547;7.83983;114.242;185.852;233.581;264.685;276.399;434.241;359.32;455.545;564.569;530.226;713.418;682.513;794.334;879.107;1165.57;945.605;1009.59;1185.69;1207.31;1144.99;1215.5;1352.35;1395.4;1478.37;1320.74;1419.98;1558.97;1421.36;1585.26;1727.58;1635.64;1597.26;1500.07;1603.88;1540.66;1315.92;1374.03;1392.51;1282.56;1102.28;1015.9;1070.74;958.675;842.163;675.217;673.594;640.908;525.31;537.293;435.878;423.157;386.365;393.442;364.636;369.465;285.707;341.317;371.369;309.963;266.472;255.256;295.526;263.69;285.189;206.596;201.386;233.053;229.963;174.736;159.526;237.624;230.354;180.271;161.259;138.416;125.578;178.735;179.21;116.435;94.0094;98.2566;74.8609;48.3165;67.2355;50.811;34.8668;32.1797;17.8668;43.0049;27.0611;40.653;6.37517;25.3661;13.6465;10.0826;3.40696;10.4383;10.5872;280;20;FALSE;1;None;5;1;1;1;10.9327;9623.88;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;48.0761;64.0047;51.6294;46.1384;1.83323;898.622;
2169;05/18/22;03:50:53;13.7;76.2;8.586870e-008;1.787709e-005;;0;0;0;0;0;0;39.2637;17.844;16.2534;74.1763;151.17;163.883;140.746;251.324;234.458;329.7;265.745;359.175;478.964;546.185;436.393;662.255;643.305;756.641;644.11;740.375;582.266;661.414;607.413;703.026;862.051;795.106;821.123;939.106;1014.69;1105;1039.77;1093.95;1114.44;1140.5;1038.39;1125.45;1075.84;1112.43;986.323;1065.12;1040.66;924.162;891.621;870.397;785.582;687.26;650.89;552.238;539.26;478.552;461.171;409.248;327.698;350.204;278.961;370.818;313.134;318.807;346.519;380.819;408.775;386.393;419.974;405.316;364.97;427.553;464.427;396.736;391.314;428.261;419.604;412.685;366.873;386.167;345.505;309.025;336.058;312.826;235.918;196.537;228.69;146.636;142.976;131.139;111.714;82.7254;79.2113;69.2462;61.1807;55.8137;28.5031;39.8999;15.6365;15.9386;16.1442;19.7613;16.8051;17.0355;13.9184;3.52923;280;20;FALSE;1;None;5;1;1;1;10.9285;9622.81;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;56.4116;82.3013;63.0447;49.5807;2.01332;711.325;
2170;05/18/22;03:55:53;13.6;76.2;8.584171e-008;1.787224e-005;;0;0;0;0;0;43.282;19.6275;0;32.5002;54.8796;17.8624;140.006;80.8217;118.781;184.764;211.502;202.488;255.577;262.882;254.617;263.021;228.313;305.145;301.938;366.5;329.404;347.085;360.842;558.882;479.68;499.563;591.959;597.572;750.273;626.226;859.962;798.95;669.772;696.131;791.715;611.372;622.025;618.324;579.439;596.572;606.934;629.598;590.974;545.282;441.522;467.644;485.465;422.132;499.165;415.185;422.905;396.4;405.663;391.504;376.37;429.89;388.778;377.587;391.211;398.94;458.108;443.356;438.33;383.282;442.211;408.146;507.634;466.009;468.12;453.03;478.562;413.798;482.164;515.554;564.64;460.6;469.86;392.871;413.699;342.95;298.317;319.694;257.247;226.793;227.797;197.682;165.769;149.202;76.1126;82.0477;76.2537;56.3207;54.688;49.5247;35.5838;38.7448;9.8803;23.5263;3.40698;13.9179;24.7037;280;20;FALSE;1;None;5;1;1;1;10.9289;9621.05;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;70.9451;105.389;78.7322;42.9351;2.15137;559.43;
2171;05/18/22;04:00:53;13.7;76.2;8.593634e-008;1.787709e-005;;38.1734;0;30.0623;0;0;0;0;0;0;0;0;50.4444;26.3476;84.7625;30.5917;55.3746;158.562;104.856;125.268;133.043;209.942;194.576;211.426;239.284;297.099;322.134;384.917;359.118;379.966;422.372;568.945;663.811;590.476;725.088;791.293;684.145;597.633;820.731;775.06;779.732;707.17;844.3;758.725;771.988;787.567;705.013;750.203;762.513;629.658;598.723;533.576;539.595;443.671;433.868;455.229;402.634;321.411;356.754;390.436;397.011;336.827;391.026;380.588;317.147;382.197;277.169;341.092;467.27;457.389;444.801;487.672;548.188;566.035;498.899;520.591;513.03;502.971;565.64;530.239;486.231;380.004;464.399;423.464;433.025;371.158;354.519;348.373;305.541;287.623;232.877;204.215;156.802;148.597;83.8533;99.0057;86.8482;70.2347;79.3161;46.9135;22.316;15.6441;30.1562;21.8956;11.8782;10.4397;3.52953;280;20;FALSE;1;None;5;1;1;1;10.92;9620.67;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;71.947;108.62;82.9286;53.2798;2.07935;564.889;
2172;05/18/22;04:05:53;13.7;76.2;8.589123e-008;1.787709e-005;;0;0;0;0;0;21.6495;39.2697;0;32.5113;14.8373;13.7445;25.2159;23.4604;32.7851;56.5424;121.857;89.2295;70.0174;167.136;92.0693;90.0421;116.254;133.709;191.048;198.626;222.375;192.063;303.582;266.8;252.699;347.786;369.424;394.63;405.072;489.533;455.508;502.083;475.95;500.835;531.875;535.181;540.305;571.799;542.604;537.254;607.752;506.06;560.861;500.735;539.404;476.639;477.659;439.956;408.176;485.707;318.551;428.291;360.796;337.817;375.166;392.51;304.009;317.762;352.172;288.588;341.697;323.908;399.029;466.517;340.04;394.368;471.628;487.246;461.241;512.848;462.552;547.589;428.103;460.613;444.918;483.265;465.252;448.393;368.376;343.905;280.344;313.647;254.558;241.641;210.97;203.55;154.684;155.427;129.629;72.4525;47.3256;65.426;49.0806;43.2806;31.087;29.8619;19.7619;16.8056;23.8504;3.78075;3.22398;280;20;FALSE;1;None;5;1;1;1;10.9257;9622.09;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;85.0578;117.374;90.6534;61.5265;2.07775;460.123;
2173;05/18/22;04:10:53;13.7;76.2;8.589123e-008;1.787709e-005;;0;0;0;26.5915;0;21.6495;19.6349;17.8466;16.2557;0;27.489;50.4318;82.1115;54.6419;66.7374;87.5448;109.653;65.521;129.008;142.783;188.802;182.47;147.169;179.08;152.976;185.769;254.052;204.11;265.028;200.852;286.601;303.05;317.884;356.449;340.76;373.264;414.501;380.336;415.265;441.053;492.47;472.101;518.511;520.996;495.193;507.307;552.49;465.13;434.067;524;444.917;388.229;421.127;367.241;407.161;362.366;362.907;371.374;344.364;410.909;372.882;354.535;350.109;349.32;427.519;405.696;410.073;461.511;444.021;466.721;430.834;420.326;469.443;474.953;511.565;459.689;477.844;426.511;452.463;395.862;436.145;381.113;345.598;333.114;399.173;300.126;234.733;230.456;226.719;191.24;151.468;151.746;124.584;99.2709;76.2473;79.1992;70.9753;40.3945;33.362;38.8006;29.0605;19.7619;13.4445;20.4432;3.4797;0;280;20;FALSE;1;None;5;1;1;1;10.9257;9622.09;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;90.6959;118.032;91.5105;63.7804;2.08235;436.918;
2174;05/18/22;04:15:53;13.6;76.3;8.579668e-008;1.787224e-005;;0;0;0;26.5709;0;0;0;0;0;0;0;12.601;58.62;70.5048;56.5052;63.4884;4.55485;77.0411;74.2551;89.6273;215.719;181.776;165.306;158.664;208.715;234.773;279.628;304.953;296.694;308.569;319.121;423.342;375.132;429.35;449.119;433.903;406.643;471.273;442.839;497.236;541.418;476.193;538.482;427.966;524.991;457.367;447.733;480.552;518.955;438.705;462.704;477.46;360.965;371.599;433.9;356.004;357.635;283.56;320.482;308.815;299.185;354.267;383.856;328.921;294.935;356.582;413.846;382.895;452.77;506.351;574.138;512.216;526.167;459.31;497.217;507.812;504.659;515.683;479.118;447.893;435.524;414.787;397.041;354.533;369;320.342;257.338;241.767;188.991;176.255;171.294;123.028;83.172;95.1987;87.4025;84.4429;59.9217;47.8723;60.667;22.312;12.9142;32.9324;20.1643;26.3975;14.7921;10.5867;280;20;FALSE;1;None;5;1;1;1;10.9345;9622.48;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;88.5599;118.241;91.5698;151.247;2.07572;447.32;
2175;05/18/22;04:20:53;13.7;76.2;8.590251e-008;1.787709e-005;;0;0;30.0541;0;23.9665;0;0;17.8479;0;0;41.2362;37.8262;23.4618;54.645;71.3687;91.742;93.3085;79.0799;111.502;125.988;55.5785;172.287;139.439;203.545;203.545;261.091;306.896;261.161;283.76;346.997;365.339;344.936;346.983;350.022;458.706;413.979;455.454;475.012;378.181;421.15;540.744;592.93;555.389;507.823;511.442;456.807;457.032;449.251;423.94;442.21;413.667;404.619;322.07;370.626;322.657;326.058;354.343;402.628;352.499;336.809;307.46;341.447;304.947;333.623;425.333;369.44;381.936;422.262;405.659;470.078;411.194;523.935;560.497;478.05;506.714;421.268;471.114;444.489;523.005;508.383;482.013;470.405;443.832;398.049;398.502;362.853;336.696;257.252;260.286;200.074;202.989;151.731;112.442;92.5595;131.976;62.9912;59.1406;37.0647;45.1033;37.9855;26.1042;26.3496;20.167;10.2218;10.4392;12.6352;280;20;FALSE;1;None;5;1;1;1;10.9243;9621.74;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;92.399;120.801;92.7853;53.2798;2.11137;450.786;
2176;05/18/22;04:25:53;13.7;76.2;8.594762e-008;1.787709e-005;;0;0;0;0;0;0;19.6424;0;32.5227;14.8423;27.4979;50.4475;35.2012;10.9315;40.7912;73.5266;85.8033;87.6774;111.11;122.005;109.21;93.9165;166.786;172.82;154.163;200.14;216.99;250.803;294.957;255.034;246.925;368.05;346.348;401.262;465.931;439.752;409.768;503.463;428.138;441.721;510.617;544.774;497.577;562.771;482.284;597.965;496.873;396.188;484.537;464.23;360.736;452.735;412.478;355.884;329.702;379.027;319.835;332.755;295.212;345.609;382.347;369.246;401.933;363.145;342.293;390.351;428.981;401.108;431.614;403.311;436.382;405.653;447.535;425.369;388.417;414.99;424.317;469.158;471.504;389.364;380.11;402.867;312.496;321.815;371.122;259.107;238.379;255.187;219.746;168.716;123.396;152.43;125.775;72.1578;76.2881;76.6741;58.8934;55.2517;30.7098;71.0093;106.264;23.0572;16.8068;6.8149;6.9599;17.6479;280;20;FALSE;1;None;5;1;1;1;10.9186;9620.31;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;87.3706;117.702;90.888;61.5265;2.07425;428.698;
2177;05/18/22;04:30:53;13.6;76.2;8.581919e-008;1.787224e-005;;0;33.5094;0;0;0;0;0;35.6752;48.7434;0;41.2152;51.873;22.0899;43.6963;67.0387;39.711;23.1733;88.0445;56.375;111.761;210.608;183.754;190.393;227.866;160.155;178.073;229.435;226.151;344.47;274.836;346.263;285.324;332.547;363.748;450.386;457.819;518.986;508.576;540.186;580.009;528.974;531.705;632.263;578.456;598.714;463.821;463.997;442.206;498.34;430.196;350.363;442.152;440.801;371.124;351.441;400.63;318.559;313.45;420.193;332.65;386.58;352.424;298.39;290.479;297.544;323.014;391.303;359.5;355.552;388.837;390.56;355.478;422.063;421.955;479.787;422.096;480.346;396.117;409.255;422.409;404.228;402.135;358.874;315.759;327.653;304.021;267.17;183.884;202.672;144.897;167.826;186.981;114.111;86.1354;78.7245;65.8916;49.6437;35.6851;37.5251;9.56256;18.9142;26.8135;14.3332;9.31851;0;10.587;280;20;FALSE;1;None;5;1;1;1;10.9317;9621.77;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;81.793;113.46;87.5198;55.2316;2.07566;432.024;
